image_id,description,height,width,path
81KZp1brWYL,"Bring stunning, Mid-century elegance to your living room with this hand-tufted sofa featuring luxurious velvet upholstery. The plush down-filled bench cushion is removable and reversible and is held in place by clips at the corners.. 87""W x 35.25''D x 30.25''H. Durable polyester velvet on hardwood frame and brushed brass legs. Modern elegant style with reversible cushion to extend the life of the piece. Simple assembly in 15 minutes or less.  Vacuum or wipe with a soft, dry cloth.. Free returns for 30 days. 1-year warranty.",1167,2546,f3/f30d699e.jpg
A1n9ZOzRyQL,,2560,2560,1c/1c413c58.jpg
916ToyB9FkL,"Geometric deep green shapes are accented with gold for an abstract art piece with an element of glam. This print will add a brilliant burst of color and modernistic style to your room and will look particularly impressive on a neutral-color wall.. Modern abstract with a touch of glam. Archival, acid-free ink on 100% cotton fiber paper with oak hanger. Directions to attach oak hanger found in User Manual under Product Information section. 18"" x 24"". Made to order",2560,1685,b9/b9e5f582.jpg
71+Z5-oyTOL,"Beef steak with quinoa, black beans, roasted corn, cabbage, cilantro, pumpkin seeds, and roasted pico vinaigrette. Get Your Greens. Ready when you are—Just combine ingredients, add dressing, and enjoy. Brought to you by Amazon Kitchen, grab-and-enjoy meal solutions, prepped for what’s next",1500,1400,e6/e6a32423.jpg
81cVhl8HXmL,"This bed adds classic style to any space. A hand-applied pewter nailhead trim accents the scalloped silhouette for added design detail. The sturdy frame is covered in a thick polyester padding for extra comfort.. This item is made to order just for you. 66""W x 92""D x 56""H; Legs: 5.5""H; Footboard: 18""H. Polyster/linen blend fabric, polyurethane foam, plywood frame. The bed is fully upholstered on the front and back of the headboard and footboard.. Cross-slat support system with adjustable levelers included.. Assemble in 30 minutes-1 hour. Vacuum, brush lightly or spot-clean only.. Free returns for 30 days. 3-year warranty.",2560,2560,4a/4a744c83.jpg
91kIKp-N-fS,"Rust-resistant iron and ribbed glass bird feeder with a java black finish. Holds up to 90 ounces of bird feed; easy assembly required on arrival. Lid unscrews from the top for easy filling of the globe; top loop for hanging. Feeding shelf surrounds the tubes bottom, allowing several birds at once. Measures 9-1/2 by 9-1/2 by 12 inches",2451,2500,65/651b323b.jpg
91HqNqgUoCL,"A variety of patterns and even some Moroccan-style themes are captures in this print of three blue tiles. Neutral blue and grey tones are accented by a light beige frame for a look that will work with most any style room.. 25.5""W x 57.5""H. Print on paper in a frame with a wood-grain finish. Bohemian style. Ready to hang, all hardware included",2560,2560,f2/f273be6d.jpg
71cAphvHi8L,"Brought to you by Whole Foods Market.  The packaging for this product has a fresh new look. During this transition, you may get the original packaging or the new packaging in your order, but the product and quality is staying exactly the same. Enjoy!. Low-moisture, part-skim.. Produced without added hormones.. Resealable bag.. Certified Organic, Vegetarian.",2560,1809,5b/5b3504b9.jpg
61PHhyVeHuL,Designed in Europe - please refer to size chart for specific measurements to achieve the perfect fit,537,1520,76/76846d3c.jpg
81FoJpSdYOL,"30-pack of cardboard boxes for moving, storage, and shipping; small, medium, and large size bundle. Ideal for packing and moving dry items such as files, clothing, electronics, and more. Professional-grade, single-wall corrugated cardboard construction. Pre-creased flaps easily fold in to create box; seal with packaging tape to secure. Easily label with stickers or write directly on the box for contents identification. For indoor use and storage",2560,2560,42/42dafae1.jpg
71Y6z1zPKQL,,2560,1969,2b/2b56452e.jpg
81bYwzjAH0L,"Pack of 12 Snickerdoodle cookies. An Amazon brand. Freshness Guarantee: We guarantee that you will be satisfied with the freshness and quality of this product, and that it will be delivered to your home within any applicable use by, sell by, best by or expiration dates.",1419,2000,e4/e4ac0a6f.jpg
51Fmeti+epL,"Contains 23 vitamins and minerals, a botanical blend, and a culture blend. - 130 tablets. - 2 month supply (when taking daily at listed serving size). - 59% of ingredients cultured from whole foods. - Made in a Good Manufacturing Practices facility. - An Amazon brand",1000,706,7e/7e27d4c6.jpg
81vZtM-Bb0L,,2560,2560,7b/7bf50d9e.jpg
81suw1YJL+L,Barnes Suede Casual Oxford. Barnes Suede Casual Oxford,965,2296,f8/f86a3d4e.jpg
A1n9pGO0I6L,"Includes (4) Black and Gray, small travel organizer cubes with handle for easy carrying. Mesh top panel for breathability and easy identification of contents. Soft mesh won't damage delicate fabrics. Double zipper pulls and handle for easy ; making opening/closing simple and fast. Machine washable; made of high-quality fabric with finished interior seams to increase durability. Product Dimensions: Each small cube measures 11 x 6.75 x 3 inches (LxWxH)",2560,2008,41/41ac476d.jpg
81pOBRCEJ3L,"This inspirational word art was created by a collaborative of artists based in Los Angeles. Printed on hand-stretched canvas, this message is framed in black for a contemporary, fun display ideal for a modern or industrial-style room.. Modern word art in contemporary frame. Hand-stretched canvas around engineered wood stretcher bar with floater frame in a black finish; arrives ready to hang. 17.75"" x 21.75"". Made to order",2560,1950,89/898c4dd8.jpg
61REfbeACeL,Brought to you by Whole Foods Market. Vegan. Low fat,1000,588,ab/ab19e116.jpg
81uIpWdrsVL,"One 48-ounce carton of Happy Belly French Vanilla Ice Cream. Indulgent Vanilla inspired by traditional French custard. Perfectly pairs with Parfaits, Pancakes & Waffles. Milk and cream from cows not treated with rBST. Kosher dairy. Satisfaction Guarantee: We're proud of our products. If you aren't satisfied, we'll refund you for any reason within a year of purchase. 1-877-485-0385. An Amazon brand",1944,2560,48/489a9abd.jpg
91X+8Y0xhyL,"This simple but stylish round ottoman is designed to blend with most any decor. The wood frame has a light oak finish for a rustic touch, with a smooth top-grain leather upholstered top. Use as a foot stool or extra seat for guests.. 39.5'' Diameter x 17.25''H. 100% top-grain leather on wood frame.. Use as a resting place for tired feet, a snack tray, or an extra guest. No assembly required. Wipe with a soft dry cloth.. Free returns for 30 days. 3-year warranty.",2560,2560,3e/3ee0840f.jpg
41DAdx8tiTL,"15""W x 15""D x 9.75""H; hanging length: 9.75""H. 2-light semiflush mount ceiling lamp; dark bronze; 15""D amber frosted glass shade. Traditional design in a dark-bronze finish paired with 2 lights in a frosted glass shade makes this the perfect semiflush mount to add a touch of sophistication to any room or hallway.. 2 60-watt equivalent LED bulbs included. Assemble in 15–30 minutes. For indoor use only",1000,1000,6f/6f384811.jpg
61Hkn8YJYWL,"Heavy duty outdoor umbrella cover: Terrazzo outdoor umbrella cover is designed to fit patio & market umbrellas 11' In diameter or 8' Square. OUTDOOR FURNITURE COVERS with : One-year limited. All weather protection: tough Rain-Tite fabric protects against rain, snow, sun and dirt and won't crack in cold weather. OUTDOOR TABLE COVER WITH : The Terrazzo Outdoor Umbrella Cover comes with a one-year limited. ALL WEATHER PROTECTION: Tough Rain-TiteTM fabric protects your outdoor furniture against rain, snow, sun and dirt and won't crack in cold weather. Custom fit outdoor umbrella cover: bottom tie cord secures cover to your umbrella so cover stays on during windy days. Tough Rain-Tite fabric coated for water resistance and repellency. Terrazzo outdoor patio set covers: protect your entire outdoor furniture collection with Premium Terrazzo covers. Bottom tie cord secures cover to your umbrella so cover stays on during windy days^Tough Rain-Tite fabric coated for water resistance and repellency",2100,2100,07/07410986.jpg
61q7f5K1VUL,"Brought to you by Whole Foods Market. Limited Edition. 100% Arabica beans. Certified USDA Organic. Make holiday mornings festive with this limited-edition peppermint ground coffee made from 100% Arabica beans, naturally flavored and sourced from quality coffee growing regions around the world. Every batch is artfully roasted to deliver outstanding flavor and aroma. Plus, our organic coffee supports the Whole Trade Guarantee Program, ensuring better wages and working conditions for workers and producers. 1% of sales are donated to the Whole Planet Foundation to help end world poverty. Limited edition so, get it while you still can.",1000,428,89/898b33a6.jpg
61LmSgp9k5L,"One 3.2 oz container of Lemonade Drink Mix. Naturally Flavored with other Natural Flavos. Low calorie. Makes 12 quarts per container. Six 0.14 oz single packets. Satisfaction Guarantee: We're proud of our products. If you aren't satisfied, we'll refund you for any reason within a year of purchase. 1-877-485-0385. An Amazon brand",1831,898,90/90408e42.jpg
51d93mliQbL,"Smooth, precise and affordable USB-connected 3-button optical mouse. High-definition (1000 dpi) optical tracking enables responsive cursor control for precise tracking and easy text selection. The 3-button wired mouse measures 4.3"" x 2.4"" x 1.35"" with a 4.92 foot (1.5 meter) cable. Works with Windows and Mac OS (Note that the provided connector is USB-A, if your device only supports USB-C an additional adapter will be required).. Plug and go ready. Ships in Certified Frustration-Free Packaging",1000,1000,2e/2ef97973.jpg
61LgxujFuOL,"Solid pine and medium-density fibreboard. With a handy lower shelf, this coffee table can hold snack trays, remotes and magazines. Traditional style with turned legs. 15-30 minutes assembly required. Free returns for 30 days. 1-year warranty.. 44""L x 22""W x 20""H",1803,2560,e0/e0f6cb9c.jpg
81hmIvQwu8L,"This vibrant chevron rug will liven up any room and impress your guests. Geometric designs in black, grey, brown and ivory will look handsome in a modern or industrial décor. You'll enjoy showing off this dynamic focal point to your room.. 4' x 6'. Medium pile is easy to clean. Pair with rug pad (sold separately). Ships tightly rolled in a protective bag",1530,1530,86/864071d3.jpg
717Y-fiqlQL,,2282,2282,c1/c11aba29.jpg
81CtXqhGF2L,"Brought to you by Whole Foods Market. Our standards are what set us apart, and our quality is what keeps us Stocking pantries, fridges and freezers with the best natural and organic 365 Everyday Value products every day.. Limited Edition - get yours while they last!. Our 365 Everyday Value Flavored coffees come in a variety of Roasts sure to satisfy any aficionado. 100% Arabica coffee is sourced from Guatemala and every batch is artfully roasted to consistently deliver outstanding flavor and aroma, cup after cup.. Naturally flavored coffee with other natural flavors.. Certified Organic, Certified Kosher, Certified Vegan, Certified Fair Trade.",2560,2006,fe/fe1e14d8.jpg
81anMgS65lL,"Ultra-soft reversible comforter with playful graphics featuring designs from Disney's Frozen. Adds a colorful design element to your child's bedroom with familiar character images that they'll love. Velvety-soft 100% microfiber exterior and plush filling keeps them cozy and warm. Twin comforter measures 64"" x 86"". Provides all-season comfort; breathable materials keep warmth in without feeling weighed down. Easy to care for; wrinkle-free, fade resistant, and machine washable",2515,2515,e5/e5722224.jpg
818jdXwe3EL,"Supports a healthy immune system.. Does not contain artificial colors, artificial flavors, or artificial preservatives.. 500mg Astragalus root extract.. Certified Kosher, Certified Vegan.. Brought to you by Whole Foods Market. When it comes to innovative flavors and products sourced from artisans and producers around the world, the Whole Foods Market brand has you covered. Amazing products, exceptional ingredients, no compromises.",2560,1348,da/dab9a99d.jpg
910DeYYCt4L,"12-ounce package of original breakfast sausage links. Gluten Free. No MSG. No artificial colors or flavors, and no fillers. Prepared in a pan or in the oven, these are an easy and quick way to add flavorful protein to your breakfast plate, next to some eggs and pancakes or as a part of your favorite recipe.. Our Fresh brand products are all about high-quality food that fits every budget, every day.",2560,2560,bd/bd6d230e.jpg
81QrWWPdndL,"Barbell gymnastics grips (small) help protect hands from blisters, calluses, and more. Made of flexible rubber for comfort and strength. Durable straps keep the grips securely in place; sleek black color. Ideal for cross trainers, weightlifters, gymnasts, and other workout and training enthusiasts. Measures 9.1 by 6.3 inches; backed by an AmazonBasics 1-year limited warranty",2560,2560,0f/0fbccd55.jpg
81yaQokFS8L,"Brought to you by Whole Foods Market.  The packaging for this product has a fresh new look. During this transition, you may get the original packaging or the new packaging in your order, but the product and quality is staying exactly the same. Enjoy!. We've combined organic berries, organic cane sugar and natural fruit pectin (that's what makes it jam-y) to create a fruit conserve that leaves us giddy with sweet delight.. Seedless, quality ingredients, delicious flavor.. Sodium free, fat free.. Certified Organic, Certified Vegan.",2560,1373,20/20e741ee.jpg
81oCkK45oRL,"Buttery, mild flavor. Product of Greece, Italy and Spain. Sourced from growers in the Mediterranean region; bottled in Italy. A versatile, everyday olive oil; use in cooking and in finishing dishes. One 2-liter plastic bottle of Extra Virgin Olive Oil. Satisfaction Guarantee: We're proud of our products. If you aren't satisfied, we'll refund you for any reason within a year of purchase. 1-877-485-0385. An Amazon brand. If you like Colavita Extra Virgin Olive Oil, we invite you to try AmazonFresh Mediterranean Extra Virgin Olive Oil",2560,1038,50/509e5ef1.jpg
61OnkGVhMWL,,1500,1500,35/3595924e.jpg
817Vgjh0ItL,"Brought to you by Whole Foods Market.  Our standards are what set us apart, and our quality is what keeps us stocking pantries, fridges and freezers with the best natural and organic 365 Everyday Value products every day.. Support for maintenance of strong bones.. Does not contain artificial colors, artificial flavors, or artificial preservatives.. Supports healthy immune system function.",2560,1394,1b/1b024e9e.jpg
6156wrCksFL,"Brought to you by Whole Foods Market. Our standards are what set us apart, and our quality is what keeps us stocking pantries, fridges and freezers with the best natural and organic 365 Everyday Value products every day.. Our Organic Red Lentils are a bit sweeter and nuttier than other lentils, they are a good source of fiber, fat free and can be a key source of protein for vegetarian and vegan diets.. Red lentils are perfect for Indian dals and curries, but can also thicken soups or boost up a salad!. Excellent source of Fiber and Iron. Good source of Potassium. Low Fat. Sodium Free.. Certified Organic, Certified Kosher, Certified Vegan.",1000,612,38/38ff0816.jpg
A194kPVvFmL,"Pile: 100% Polypropylene, Backing: 100% Jute. Imported. This dark grey blooming medallion rug adds cool, contemporary style to your transitional spaces. It's a modern remake of a classic oriental pattern made of stain resistant fiber that is a smart option for active households.. Highly durable update of a classic design. Machine woven. Made in Turkey. 100% polypropylene. Durable and long-lasting. 4' x 6'. Pairs with a rug pad (sold separately). Ships tightly rolled in a protective bag. Unroll, allow up to a week for synthetic fibers to settle.",2560,2560,f5/f54cda07.jpg
61P20F5bTdL,"Our Organic Apple Cider Vinegar is made from select varieties of organic apples. In addition to its culinary uses, apple cider vinegar has been touted for centuries in countless folk remedies.. The pure, natural flavor of apple cider vinegar makes it an excellent choice for salad dressings, marinades and sauces. It's perfect as an addition to poultry, pork and seafood, or to wake up the flavor of barbecue sauce or baked beans.. Pasturized, Sodium Free.. Certified Organic, Certified GMO-Free, Certified Kosher, Certified Vegan.. Brought to you by Whole Foods Market. Our standards are what set us apart, and our quality is what keeps us stocking pantries, fridges and freezers with the best natural and organic 365 Everyday Value products every day.",1000,355,d2/d20098db.jpg
71d-CzopjgL,"Brought to you by Whole Foods Market.  The packaging for this product has a fresh new look. During this transition, you may get the original packaging or the new packaging in your order, but the product and quality is staying exactly the same. Enjoy!. Cold Processed.. Certified Organic, Certified Kosher, Certified Vegan.. North American Olive Oil Association Certified Quality. Tested for quality to meet international olive oil standards.",2560,541,c8/c89107c7.jpg
81slwdD7oBL,"Brought to you by Whole Foods Market.  The packaging for this product has a fresh new look. During this transition, you may get the original packaging or the new packaging in your order, but the product and quality is staying exactly the same. Enjoy!. Roasted almonds mixed with roasted & salted cashews & plenty of perfectly sweetened cranberries.. Resealable bag for freshness.. Low Sodium.. Certified Organic, Certified GMO-Free, Certified Kosher, Vegan.",2560,1678,7f/7f022b19.jpg
81zrbRJXHqL,"24-piece metric and SAE combination wrench set with chrome finish. Manufactured from long-lasting, durable materials, drop forged and hardened treated. Includes nylon roll-up case for convenient storage and portability. Backed by an AmazonBasics limited one-year warranty. Includes 7mm, 8mm, 9mm, 10mm, 11mm, 12mm, 13mm, 14mm, 15mm, 16mm, 17mm, 18mm, 1/4"", 5/16"", 11/32"", 3/8"", 7/16"", 1/2"", 9/16"", 5/8"", 11/16"", 3/4"", 13/16"", 7/8""",2560,2560,ea/eac65f1f.jpg
71je0Sw2HzL,"21-ounce bag of 6 cinnamon raisin bagels. Pre-sliced. Certified Kosher. Contains wheat. Our Fresh brand products are all about high-quality food that fits every budget, every day.",2560,1096,72/72c2e863.jpg
91udGka1EiL,"Classic-style chair with lever reclining mechanism. Slim design, perfect for smaller living spaces. Hand-lever reclining feature offers smooth, easy operation. Overstuffed, generously padded seat and back, arm rests, and foot rest. Faux leather upholstery provides a luxurious look with added durability",2560,2560,ba/babca323.jpg
81ZntlIIS-L,"This mid-century love seat with removable and reversible down-filled cushions offers comfort, while the hardwood frame and tapered legs increase its daily wear-and-tear durability. Whether used as a focus piece or a foundational piece, tufted back cushions add a touch of elegance to any room.. 65""W x 38""D x 35""H. Solid hardwood frame, down-filled cushions, tapered wood legs. Removable and reversible down-filled cushions. This mid-century love seat adds elegance and comfort to any room.. Assemble in 15 minutes or less. Avoid moisture. Wipe with a soft, dry cloth.. Free returns for 30 days. 1-year warranty.",1794,2560,1e/1e33b274.jpg
51EZQI69I-L,"Product 1: Cranberry extract concentrate 168 mg (equal to 8400 mg fresh cranberry); Vitamin C 40 mg; Vitamin E 2.7 mg per serving (2 softgels). Product 1: 250 softgels, 125 servings. Product 1: No artificial flavors, no gluten, no lactose. Contains soy.. Product 1: We're getting a new look! Packaging you receive may vary. Product 2: 150 softgels, a five month supply (taken daily at listed serving size). Product 2: 125 mcg (5000 IU) vitamin D3 per serving (1 softgel). Product 2: No artificial colors, no artificial flavors. No gluten, no lactose. Product 2: Same product, new look! Packaging you receive may vary as we transition.",1001,1001,47/47fc2bee.jpg
A1lQvMHanXL,"The old-world style of floral design gets a modern update in this blue rug, which is ready to create a soothing atmosphere in a living or dining room. The high-low pile combination creates warm and inviting textures and patterns.. 5' x 8'. High/low pile is easy to clean.. Pair with rug pad (sold separately). Ships tightly rolled in a protective bag",2560,2560,ce/cec84d53.jpg
81KxL5jyQpL,"One 12-ounce box of Happy Belly Toasted Oats. 32g Whole Grain per serving. No Artificial Colors or Flavors. Kosher. If you like Cheerios Cereal with Whole Grain Oats, we invite you to try Happy Belly Toasted Oats. Satisfaction Guarantee: We're proud of our products. If you aren't satisfied, we'll refund you for any reason within a year of purchase. 1-877-485-0385. An Amazon brand",2036,1421,17/17159cb1.jpg
81AGKphS3rL,"Brought to you by Whole Foods Market.. #1 ingredient is real turkey.. Premium dog food.. No corn, soy or wheat.. Non-BPA Lining.",2560,2560,84/84f3ba50.jpg
81oTHF1PcUL,"This stately lamp combines a narrow base of white marble and clear crystal glass with a white fabric shade for a very contemporary effect. This eye-catching lamp will make an impression while illuminating your room.. Contemporary style with classic materials. Marble and crystal glass base, polished nickel hardware, white fabric shade. 10.5"" width makes it compact for small tables. 18""H x 12""W x 12""D. Simple assembly. Intended for indoor use only",2560,2560,f1/f154a661.jpg
71gjqxT+4ML,"Brought to you by Whole Foods Market. When it comes to innovative flavors and products sourced from artisans and producers around the world, The Whole Foods Market brand has you covered. Amazing products, exceptional ingredients, no compromises.. Limited Edition Calabrian Chile pepper.. Medium-heat.. Product of Italy.. Certified Non-GMO, certified Vegan.",2560,512,39/392d59ff.jpg
81X7qrUrgpS,An Amazon Brand,2001,2500,86/8678dded.jpg
51mJUzKW6cL,"Vintage design and chic leather upholstery combine in this piece, making it the perfect fit for modern and classic decor schemes. Foam-padded cushions and solid wood legs ensure that this ottoman is functional and comfortable as well as a stylish addition to any lounge area.. 34""W x 23""D x 20"". Sturdy wood frame and solid wood legs in a dark walnut finish with rich 100% top-grain leather. Foam cushions provide lasting support and comfort.. Treat yourself to luxury with this striking vintage-look ottoman. The classic upholstery and solid wood legs in an espresso finish exude opulence.. Rich leather upholstery adds sophistication and comfort to any space.. Assemble in 15 minutes or less. Vacuum or wipe with a dry cloth. Spot clean if needed.. Free returns for 30 days. 3-year warranty.",806,1302,a1/a143c72b.jpg
71DIyHrfmKL,"Classic 3 stone ring set with round brilliant cut Swarovski Zirconia (3 cttw). A size 7 ring made from platinum plated sterling silver ensures a comfortable fit and high quality product. This jewelry design was manufactured with the highest quality standards. All efforts are being made to use sustainable resources and socially responsible providers.. Each Swarovski Zirconia is Laser Engraved as a seal of authenticity and guarantees the highest quality diamond simulant in the world. Imported. These silver pieces are built for longevity. This piece features a metal plating or flashing, or an electrocoating for a more lustrous appearance, but it can wear off with long-term or heavy use. To ensure the longevity of your plated items store your jewelry in a dark, cool, dry place such as a pouch or air tight box and avoid rubbing plated items together. Also try to avoid exposure to cleaning products and perfume which can both negatively affect your items. Your local jeweler can advise you where to send your jewelry if you would ever like them replated.",792,1314,b2/b2b0ed40.jpg
91AIzQ1-f5L,"62""W x 3.5""D x 47""H. Durable polyester fabric on wood frame; solid wood legs with a black finish. Contemporary design with a wood frame upholstered in beige fabric; solid wood legs. Foam padding and an elastic suspension system keep the headboard supportive and springy.. Assemble in 15 minutes or less. Free returns for 30 days. 1-year warranty.. Avoid moisture. Wipe clean with a soft, dry cloth.",2560,1896,fa/fae9cb73.jpg
916B5JgdShL,,2560,2560,68/686c5718.jpg
61LippLT1KS,"Ultra modern 64-inch-wide TV stand will support LCD, Plasma, or DLP screens. Beautifully crafted of solid birch and ash veneer with white tempered glass. Includes 3 shelves; storage inside for AV devices and media. Coordinates with Pinzon's Geary Furniture Collection. Measures 64 inches wide by 20 inches deep by 23 inches high",887,1800,4d/4d7c454c.jpg
81jZydbkiML,"Brought to you by Whole Foods Market.  The packaging for this product has a fresh new look. During this transition, you may get the original packaging or the new packaging in your order, but the product and quality is staying exactly the same. Enjoy!. Product of Sri Lanka.. Certified Organic, Certified Kosher.",2560,1206,1b/1bc585aa.jpg
81Fpec4E0zL,26-piece long-arm hex key set for quickly tightening or loosening fasteners; standard and metric sizes. Made of chrome-vanadium steel for rugged strength; black oxide finish for protection against corrosion; sand blasted for a smooth surface. Long-arm design provides extended reach and enhanced leverage and torque; beveled ends ensure easy insertion. Ball-end design allows entry angle of up to 25 degrees for easily reaching around obstructions. Includes 2 hinged storage cases with dedicated slots and clear size markings; backed by an AmazonBasics limited 1-year warranty,1929,2560,f8/f8311fe2.jpg
71mZIew+KmL,,689,1520,7c/7cd26aaa.jpg
81klcCRNo+L,,1330,2560,1a/1aa68234.jpg
