ITEM_ID,PRICE,CATEGORY_L1,CATEGORY_L2,PRODUCT_DESCRIPTION,GENDER
"468f0798-8c51-4846-b8ee-c9fea3a32cf4",12.99,books,travel,"Plan your next trip with this essential reference book on Greece",Any
"6d488475-1d67-4076-96b1-8e706709a847",75.99,housewares,kitchen,"A must-have for your kitchen",Any
"a791d017-1dff-4632-bd32-cf91d966d3c4",43.99,homedecor,cushion,"This set of cushions is very stylish",Any
"473d7251-7eaf-4b7a-9f87-ff6f7897d565",19.0,beauty,grooming,"100% guaranteed universal and 100% luminous.",F
"0f4a0199-9ad9-422a-9bca-868723b659a9",107.99,footwear,sneaker,"Dashing pair of dark blue shoes for ambling in a new city",M
"547c307d-f756-4e69-af71-897352247169",7.99,groceries,vegetables,"This flavorful veggie is a must-have in every pantry",Any
"87e34e87-de1f-4a83-9343-c885e82941b8",243.99,furniture,chairs,"Relax in this soft white armchair",Any
"63911783-3144-410c-b521-25bff67ec494",2.99,groceries,fruits,"This delicious fruit is everyone's favorite",Any
"f95bf418-447f-4c76-8f87-a32b1d04942a",4.99,groceries,dairy,"This cheese is made sustainably by our dairy farmers",Any
"74752034-abd6-482b-a652-eca3bdbc906e",80.99,apparel,shirt,"Pale green tee for men",M
"17b30ddf-a797-42ba-8145-364fd62e724c",6.99,apparel,socks,"Fashionable and colorful socks",M
"771a0ced-1a1c-45d4-b94c-3d7b2188e48b",46.99,homedecor,decorative,"This rattan basket is a must-have for your home decor",Any
"d7886985-e5fa-4e4c-984c-d3e5be1036f5",24.99,housewares,bowls,"Stylish ceramic bowl for every occasion",Any
"88d2eee9-2791-4cd7-b768-a08b6b590d38",114.99,floral,bouquet,"Wedding bouquet grown sustainably on our organic farms",Any
"ee882660-2b73-4243-beea-e34541a94a4e",13.99,groceries,meat,"Our beef is raised sustainably by our farmers",Any
"3f3b3c2d-b2ca-450f-9280-98f29b3371d5",9.99,footwear,sandals,"This spiffy pair of sandals for woman is perfect for the summer",F
"6197af7d-ab62-4c5b-8050-4774ed9ebb41",59.99,seasonal,halloween,"A must-have for that fanciful day loved by all",Any
"c9022319-6833-4e6a-afcf-16fb3b85a2b8",113.99,seasonal,christmas,"A favorite for the holidays",Any
"10d35bdd-fe3d-4d23-99de-68bf1e24bcff",57.99,housewares,kitchen,"A must-have for your kitchen",Any
"ef3bfb5d-2117-4fce-948d-a7ac144c96fc",77.99,apparel,scarf,"Swell scarf for men",M
"31eef6b5-781e-4353-a851-d73ff9c22f9a",52.99,books,cooking,"Learn to cook Chinese cuisine with these easy recipes",Any
"c92cda0f-65b3-4203-b229-52c222e872de",221.99,furniture,chairs,"Swanky sienna armchair for any room",Any
"3efb5bf2-b419-43b9-9b1f-78a6aa6fc2b7",80.99,accessories,bag,"This black bag for women is matchless for all occassions",F
"cda26fe7-088a-426d-905a-74368dbf8e6d",28.99,seasonal,halloween,"Be sure to order early in October",Any
"083c4c20-48c3-4610-b3f1-405602408f15",30.99,accessories,belt,"Funky belt for all occasions",M
"fe1a58b0-93dd-4600-8955-1d90d04320fa",207.99,electronics,speaker,"High definition speakers to fill the house with beautiful music",Any
"0aa92eeb-2d88-4b26-9e3b-5cbf6053c925",144.99,furniture,tables,"Fashionable white accent table to enhance your room",Any
"55726766-f273-405b-b90c-c339a0d9609a",100.99,accessories,glasses,"These groovy glasses for men are unequaled",M
"9f87cbe4-07dc-4540-ad1d-693ea0c27045",93.99,accessories,belt,"Cool belt for all occasions",M
"7e0e0e1f-9798-4f20-843f-df9a1ae2d878",9.99,footwear,formal,"Pair of crimson formal shoes for women",F
"f115c9be-eae6-4bdf-9b92-32ba579a43b1",208.99,furniture,chairs,"Increase your productivity with this comfy black office chair",Any
"5ccbf994-ff21-47b9-a935-a6e077568c2d",116.99,floral,arrangement,"Mixed arrangement grown sustainably on our organic farms",Any
"23aa70ab-959f-4835-a114-c30ff5e4f974",113.99,electronics,headphones,"This accurate pair of headphones is unrivaled in clarity",Any
"29ffa0d7-45c9-4774-9aca-bc382e3352de",109.99,seasonal,christmas,"A favorite for the holidays",Any
"02c03513-b40d-44ec-b2d4-bb4d9421803a",8.99,groceries,bakery,"Donuts made fresh daily in our kitchens",Any
"dc107cab-89ea-4e27-a2bd-182f3f5d4991",50.99,housewares,kitchen,"Outstanding for every kitchen",Any
"0aa18bc9-58bf-4a77-bb01-bd59605512ab",150.99,apparel,jacket,"Warm casual jacket for women",F
"489dee3d-6abf-4470-bb94-8b9c0d12f18e",210.99,furniture,chairs,"Increase your productivity with this nice saddle brown office chair",Any
"c9b8db98-e17a-49f3-ae8a-efa440be45be",139.99,furniture,chairs,"Increase your productivity with this comfy office chair",Any
"2d2ea623-ed58-46bb-a95c-c932546c124e",162.99,furniture,tables,"Swell golden accent table to enhance your room",Any
"75917ca3-d96d-49c9-b99a-60baac872b7a",281.99,furniture,tables,"Supercool rosy-brown coffee table to enliven your day",Any
"120e30c2-30ff-4c57-8265-17d084436ebb",65.99,jewelry,bracelet,"Sans pareil bracelet for women for every occasion",F
"f31e0276-66fd-463b-9dbf-fd7a35e6a109",23.99,apparel,socks,"These socks are very comfy for the office",M
"292c73e0-e9b7-4d65-837c-d7e9ba0ca5a3",33.99,seasonal,halloween,"A must-have for that fanciful day loved by all",Any
"e1372a53-ba17-48dc-8993-a57309805626",21.99,seasonal,halloween,"Be sure to order early in October",Any
"d4caa74c-5d27-4f1a-847d-e2d93a6fdf32",39.99,seasonal,valentine,"Be sure to order early for that special day",Any
"072f2cf7-33e8-4c74-9406-2c1fc21b3168",9.99,footwear,formal,"Pair of black formal shoes for women",F
"d805e752-3621-4844-a38d-f0c247f5036b",76.99,floral,bouquet,"Wedding bouquet delivered fresh and vibrant from our growers",Any
"0269c908-fd3e-4c51-b9f0-0e0968623eb7",87.99,instruments,percussion,"This acoustic drum is perfect for amateur and professional musicians",Any
"d5e96c12-75cc-45ca-9991-7a987ed86ad3",57.99,housewares,kitchen,"Ideal for every kitchen",Any
"17ab5081-8414-4cab-9003-033ec02b44da",667.99,furniture,sofas,"Unequaled dark gray sofa for any room",Any
"fd34b35b-de76-496e-89f1-6ef65969e1a4",15.99,books,travel,"Plan your next trip with this essential reference book on Mexico",Any
"0c4744e2-b989-4509-a7e2-7d8dc43ff404",73.99,floral,plant,"Drought-resistant indoor plant grown sustainably on our organic farms",Any
"21a89a27-c1b2-4ccf-b68e-27d904b2f854",28.99,seasonal,valentine,"Be sure to order early for that special day",Any
"4ea4ab51-cec5-4908-a95e-9529244cc050",129.99,furniture,tables,"Unrivaled tan worktable for your office",Any
"3e766c14-75f3-4b25-8808-32b97393434b",113.99,furniture,chairs,"Outstanding goldenrod chair for any dining room",Any
"18e38de5-432d-4825-b042-a6606480dd30",336.99,instruments,keys,"This keyboard is perfect for amateur and professional musicians",Any
"40661057-b318-4fc9-bf00-8a1ab1b3c3cb",39.99,accessories,belt,"This groovy belt for women is perfect for all occasions",F
"134b991a-f336-4b73-ae44-247317af0130",147.99,apparel,jacket,"Warm casual jacket for men",M
"9e90d949-90f7-443a-8a85-fa7e590bc589",86.99,apparel,scarf,"Hip scarf for women for every occasion",F
"d3d53458-ea05-4544-9a11-5a44df873e4d",160.99,furniture,tables,"Increase your productivity with this definitive white worktable",Any
"6a1c85a2-0a73-4358-a99f-ec75b4c33f99",276.99,furniture,tables,"Outstanding light gray worktable for your office",Any
"6d5b3f03-ade6-42f7-969d-acd1f2162332",37.99,beauty,grooming,"Razor for every bathroom",M
"ab704911-0afe-4c60-bf22-134c9e45f6d5",11.99,electronics,cable,"This convenient cable is a must-have for your electronics",Any
"87723a77-763c-441d-b1ce-0ef53529a2ac",44.99,homedecor,decorative,"This wiker basket is a must-have for your home decor",Any
"ec981144-9f7d-473e-94a1-14da97152c5b",27.0,beauty,grooming,"In stylish yellow, guaranteed to stay on in sauna and car-wash.",F
"7991a67e-5d9b-4c51-8191-856551ebebca",310.99,furniture,tables,"Outstanding white dining room for the whole family",Any
"045324c6-7df9-4ce7-9688-d352a6d73e02",92.99,floral,wreath,"Christmas wreath delivered fresh and vibrant from our growers",Any
"fe952283-95ea-4d20-9b6e-b0711698b171",272.99,furniture,tables,"Groovy rosy-brown accent table to enhance your room",Any
"41ac9770-6767-48e3-939d-db2e72668241",75.99,accessories,watch,"Supercool watch for women",F
"e99c24df-ebe9-429e-8c69-cd80132b87b3",305.99,furniture,tables,"This incomparable rosy-brown dining table will delight everyone",Any
"4c8e8bed-371a-4664-a5a8-974c65d52d63",117.99,accessories,handbag,"This gainsboro handbag is a quintessential dressy companion",F
"f2658d49-665b-433f-b48c-a1761d3de63c",103.99,floral,plant,"Drought-resistant indoor plant delivered fresh and vibrant from our growers",Any
"ba96fabb-220e-40f4-8999-c270f8d06a90",93.99,seasonal,christmas,"A favorite for the holidays",Any
"6d08204b-35e4-419b-b2c7-ef762a3c6597",10.99,apparel,socks,"These cool colorful socks will brighten smiles",M
"f8c2af2c-313d-43aa-bf76-340bafd0d46c",42.99,homedecor,lighting,"This hanging lamp will enhance your home",Any
"aff05423-76e8-4339-a478-fc17d51ed985",1.5,"cold dispensed",fountain-carbonated,"16oz fountain soda always hits the spot",Any
"5dbc7cb7-39c5-4795-9064-d1655d78b3ca",31.99,beauty,grooming,"Razor for every bathroom",M
"536b9388-bafb-432d-9085-ad4af01edd6f",9.99,electronics,camera,"Video camera for amateurs and professonals",Any
"54158f12-a839-466b-afbc-7c8788c9fd85",160.99,footwear,sneaker,"An all-around intrepid pair of firebrick sneakers",M
"7250b108-96cc-45f7-b3f0-0e38d7277a8d",100.99,accessories,handbag,"This casual dark gray handbag is sans pareil all over",F
"a17b4428-be23-4ccf-820c-e4d502b18979",174.99,apparel,jacket,"Cool casual jacket for men for all seasons",M
"95f55bd7-c2fc-4a05-ad47-1f41e38a8456",43.99,seasonal,halloween,"A must-have for that fanciful day loved by all",Any
"e44cc0bf-d467-4aae-99fe-268e85eb0d1c",95.99,apparel,jacket,"Warm casual coat for men for winter",M
"700914b6-ae23-4e10-9329-896ba6526ce4",9.99,footwear,sandals,"This modish pair of sandals for woman is perfect for the summer",F
"69db7a78-e649-482d-b460-4d4321e7f384",49.99,seasonal,easter,"A must-have for April",Any
"8dc592e0-b192-44d7-a639-b79946f4e12b",75.99,seasonal,christmas,"A favorite for the holidays",Any
"69efa81b-e1d4-415b-9639-71450fae5bb6",85.99,jewelry,earrings,"Spiffy earrings for women",F
"04b9b2b6-28c7-4dba-89b4-a2a918d836df",94.99,furniture,chairs,"Incomparable white and black chair for your office",Any
"2386a4f2-d20f-4622-a8ee-0d47f38c1f90",150.99,jewelry,bracelet,"This exquisite bracelet for women will turn heads",F
"21a14202-3d31-4510-80c1-d99c3c54a915",41.99,homedecor,lighting,"This pillar candle will enhance your home",Any
"7c859d38-407a-4b5f-8125-c901bd3f5562",194.99,furniture,tables,"Increase your productivity with this definitive black worktable",Any
"ab22df42-55a5-4180-b46d-5a55d77811e1",228.99,instruments,microphone,"This high fidelity microphone can be relied upon in every situation",Any
"2b556650-4748-460a-b4c9-b81b8fd3e990",182.99,footwear,boot,"Unsurpassed pair of brown boots",M
"1b2dda7c-7fd7-476a-bdea-87bcd101a022",65.99,housewares,kitchen,"Unsurpassed for every kitchen",Any
"3b4ec162-f680-4323-8ddc-95cf37366248",141.99,apparel,jacket,"Cool winter casual coat for men for the mountains",M
"a8bddfa0-6f9d-4d7e-9265-23f511f48016",60.99,housewares,kitchen,"Outstanding for every kitchen",Any
"16d2aa62-0f43-48d6-b42b-be7ae0f66e6b",5.99,groceries,dairy,"This yogurt is fresh from our dairy farms",Any
"89fbf7f1-0656-44eb-ba76-ecde10e834b9",64.99,housewares,kitchen,"Unparalleled for every kitchen",Any
"e5f9478b-9d05-450f-b5da-2b525c7f843b",55.99,housewares,kitchen,"A must-have for your kitchen",Any
"afd62b60-3596-47cd-a61f-1e53a0c2a8da",9.99,footwear,formal,"Pair of golden formal shoes for women",F
"5d926c34-3aca-40c3-9199-603c6717ea37",129.99,floral,plant,"Indoor plant delivered fresh and vibrant from our growers",Any
"f7b90f15-74e2-4dd0-a003-93e7965e2266",182.99,instruments,strings,"This acoustic bass will delight the most demanding musician",Any
"0ed92852-f5ac-41e1-ad8f-1731b24e37c5",72.99,seasonal,christmas,"A must-have for the holidays",Any
"b6149c48-4fa1-4468-bf01-87a0fd39bdd5",32.99,seasonal,valentine,"Be sure to order early for that special day",Any
"9a66adca-22dc-4e13-bf61-ceb1f5fffcb6",258.99,footwear,boot,"This pair of black boots is sans pareil for the autumn",F
"a63e6cbf-29d7-4b3a-8298-d1d91f129bfa",147.99,homedecor,clock,"This wall clock is a must-have",Any
"e09d3267-1a87-4518-9fa7-fa9ed847c80d",499.99,instruments,microphone,"This accurate microphone can be relied upon in every situation",Any
"addd77dc-c004-445b-a448-5ef6956d82bd",13.99,tools,saw,"This saw is a must-have for your toolbox",Any
"56853a1b-064b-498f-846d-28473bd22233",67.99,housewares,kitchen,"Unsurpassed for every kitchen",Any
"1eb2dd1f-7eb1-4eb2-bfac-59ab4d47d0c8",55.99,housewares,kitchen,"Definitive for every kitchen",Any
"bac8c61d-dd0e-42f1-8c9b-004ae7e64131",5.99,groceries,dairy,"This cheese is made sustainably by our dairy farmers",Any
"9fcced83-5621-4c3c-88dd-f3110360c47e",57.99,seasonal,halloween,"A must-have for that fanciful day loved by all",Any
"a51e9895-f3ee-47c1-b594-a8e7df8e8fd8",127.99,footwear,sneaker,"Funky pair of dark slate blue sneakers to explore in the neighborhood",M
"a26ff192-35d6-411a-9337-abbb793d6b1b",115.99,apparel,jacket,"Well-insulated casual coat for men for the mountains",M
"89661620-49e0-49f7-9da3-a840e0e17c3b",21.99,electronics,keyboard,"This keyboard is compatilble with all computers",Any
"54b6faaf-c7fd-4abc-83b1-eaf7979f46f6",463.99,instruments,strings,"This electric guitar is perfect for amateur and professional musicians",Any
"1af515fd-522d-402a-b73c-ff73b0d2efe9",210.99,apparel,shirt,"Funky dressy shirt for men",M
"fa496dad-dab8-4c6e-9836-eb7dcfb2724f",6.99,groceries,meat,"Our beef is organic and raised sustainably",Any
"0ef96548-e499-4b8f-8656-e3e6a070d171",57.99,homedecor,lighting,"This hanging lamp is a must-have for the lighting of your home",Any
"7cfd10d1-ff92-4513-b688-0ee179deaaef",12.0,beauty,grooming,"Pimples? Invisible. Warts? Never happened. No need for witchcraft when you have science!",F
"3f916af8-c7fb-4b86-a442-746e01cfe96f",548.99,electronics,television,"This LED television delivers a sharp picture",Any
"56138fc9-df6d-4d6f-8594-768861870d30",53.99,homedecor,lighting,"This hanging lamp will enhance your home",Any
"f9446e88-fe6e-4601-8f47-7529f80bbac5",18.99,tools,knife,"This knife is a must-have for your toolbox",Any
"af7da9e1-844a-4c9a-8277-0127feda35b4",83.99,accessories,belt,"Supercool belt for women",F
"fabc3cde-1203-4f82-8080-bf3b1bf36a6b",11.99,groceries,meat,"Our beef is raised sustainably by our farmers",Any
"b51bd298-43b7-49e2-852d-de8c1aff6724",9.99,footwear,sandals,"Groovy pair of sandals for men",M
"e850acc3-3cb1-499b-bea9-fd495d4c56ca",9.99,footwear,sandals,"Swanky pair of sandals for women",F
"e358575b-7983-4f61-9902-bd44ce9ead6b",81.99,accessories,glasses,"These ultracool glasses for men are ideal",M
"1d045c07-ef58-445c-8f73-93b466e6ccf2",417.99,instruments,keys,"This keyboard is perfect for amateur and professional musicians",Any
"f5be9f67-8def-405d-af7e-2abf6876277f",50.99,housewares,kitchen,"A must-have for your kitchen",Any
"c621da57-cc0f-4004-a975-6b08f28d0d60",25.99,outdoors,kayaking,"Be sure to use this paddle for speedier kayaking",Any
"2f182add-43fd-41f2-8899-d9e2fe507625",263.99,instruments,strings,"This electric guitar will delight the most demanding musician",Any
"cfd9119f-ee29-4bc5-a08d-a58f471e7c73",9.99,footwear,formal,"Pair of black formal shoes for men",M
"e9c299d3-f657-448f-85cd-8cda432a59b8",125.99,furniture,dressers,"Unsurpassed dark slate gray dresser with three drawers is a must-have",Any
"dc5bba3f-8d2b-4c81-a482-bbafd457d997",43.99,homedecor,lighting,"This taper candle will enhance your home",Any
"e13ea370-f88c-49f9-ab8f-7b139825959d",114.99,apparel,scarf,"Sans pareil scarf for women",F
"c7957edf-33e1-4724-b580-878ff945b0c2",15.99,groceries,meat,"Our beef is raised sustainably by our farmers",Any
"060ed40f-91cb-4bd5-a0fc-36f7351d2221",3.99,groceries,fruits,"This delicious fruit is everyone's favorite",Any
"bb3f926c-9869-4b47-b13d-63271768f0b1",9.99,footwear,formal,"Pair of sparkly formal heels for women",F
"a11ef46f-dedf-48c8-94b0-3c9572608c5f",70.99,apparel,scarf,"Hip scarf for women for every occasion",F
"421fa982-eff0-437c-896d-da63ae441b2e",136.99,floral,plant,"Indoor plant grown sustainably on our organic farms",Any
"85c80e2b-5eff-4307-9900-1d4395672eb2",9.99,footwear,sandals,"This ultracool pair of sandals for men is perfect for the summer",M
"bf51b46a-02db-4439-bb71-5adfb9e4bda5",55.99,seasonal,halloween,"A must-have for that fanciful day loved by all",Any
"04f22a7d-97fd-4650-afb6-3537963f647d",131.99,apparel,jacket,"Well-insulated jacket for women for the outdoors",F
"ee772434-345e-400d-bcd2-9fe696282bfe",93.99,instruments,percussion,"This drumset will delight the most demanding musician",Any
"7bc5ce87-2c88-4fe5-bd5e-b74e523c3bd2",8.99,groceries,bakery,"Bread made fresh daily in our kitchens",Any
"ccf64e5d-bee5-438a-99b7-14d8cf33596a",150.99,accessories,backpack,"Dark olive green men's backpack for striding all over during the autumn",M
"126de4a5-9a55-400e-9af2-325e3ad200c9",145.99,seasonal,christmas,"A favorite for the holidays",Any
"227f7ac2-749d-47cd-bf56-698aaffc24f9",61.99,apparel,shirt,"Spiffy white top for women",F
"f48b2d51-e6ed-4778-ba2b-c29badcb89ae",19.99,homedecor,lighting,"This wall lamp will enhance your home",Any
"baca6570-15ab-43f8-a610-38a6efa502df",9.99,footwear,formal,"Pair of black formal shoes for women",F
"c14e9f90-ca7c-4f8b-aace-fa9b9cb27a83",431.99,instruments,wind,"This flute will delight the most demanding musician",Any
"89728417-5269-403d-baa3-04b59cdffd0a",26.0,beauty,grooming,"Get makeup done, the only way how, on your skin.",F
"61a68119-7584-4f2d-9dd9-c98967d089cb",6.99,groceries,bakery,"Bread made fresh daily in our kitchens",Any
"27fe9aad-51d5-4be2-99a5-24c45caf4b55",66.99,electronics,speaker,"These high fidelity speakers are unparalleled for your music room",Any
"161ff272-2e10-46ff-895a-83c52e3ce8ed",150.99,accessories,glasses,"Funky glasses for women",F
"f9c470b0-152b-4776-893a-67ffc4064675",150.99,floral,arrangement,"Roses arrangement delivered fresh and vibrant from our growers",Any
"be0967ed-5970-46b2-8d57-13065f647013",256.99,furniture,tables,"Definitive black worktable for your office",Any
"69a31bac-661e-499e-a6ff-c1f178e4bacb",53.99,housewares,kitchen,"A must-have for your kitchen",Any
"d37f2c71-3ed8-4b5c-b65d-06bb3ca69943",202.99,apparel,shirt,"Checkered casual shirt for women",F
"e830a54b-125d-4dbc-b5ac-1725382d96fd",32.99,seasonal,valentine,"Be sure to order early for that special day",Any
"bade7609-f412-45cf-9e85-8ce84ed261fd",187.99,footwear,sneaker,"Cool pair of gray sneakers to explore in a new city",M
"f6231107-7050-44ea-ac6a-dcb09f4a0b33",19.99,outdoors,camping,"Be sure to bring this camping lamp with you to the outdoors",Any
"123e7f5e-c5aa-45f0-94c3-1df8b018f004",46.99,homedecor,lighting,"This decorative candle is a must-have for the lighting of your home",Any
"f49331ff-4021-465f-bb42-9dd6a5933791",200.99,apparel,shirt,"Pale Gray casual shirt for men",M
"d090af37-2c9d-4779-9baf-2944eb436f14",11.99,tools,plier,"This plier is a must-have for your toolbox",Any
"6652449d-16f3-47ee-9860-b6bd602fabab",489.99,instruments,microphone,"This high definition microphone can be relied upon in every situation",Any
"f8834f5f-4017-4da0-98d6-3c8985cbc7f5",887.99,furniture,sofas,"Outstanding pale gray sofa for any room",Any
"28798011-16bb-4213-aac0-92cc362446f9",45.99,electronics,speaker,"High definition speakers to fill the house with beautiful music",Any
